parcelle,annee,rendement,rendement_predit
1,2020,1690.0,1663.69
1,2021,1100.0,956.89
1,2022,2590.0,2720.74
1,2023,1110.0,1184.82
1,2024,1870.0,1775.58
2,2020,1830.0,1662.82
2,2021,1040.0,956.21
2,2022,2870.0,2721.34
2,2023,1390.0,1184.18
2,2024,1910.0,1772.91
3,2020,1430.0,1662.37
3,2021,640.0,955.93
3,2022,2650.0,2718.35
3,2023,1130.0,1184.16
3,2024,1830.0,1772.31
4,2020,1570.0,1661.73
4,2021,1060.0,954.62
4,2022,2610.0,2717.56
4,2023,1350.0,1182.89
4,2024,1510.0,1772.34
5,2020,1750.0,1669.43
5,2021,900.0,962.86
5,2022,2570.0,2727.62
5,2023,1270.0,1191.02
5,2024,1470.0,1779.86
